date,suggested_time,timezone,format,topic,platforms,cta,asset_directory,caption_file,alt_file
2026-08-04,19:30,Europe/Sofia,Hyperreal Fact,Зъбите не са отделени от тялото,Instagram | Facebook,Запази и сподели,posts/01-whole-body,posts/01-whole-body/caption.txt,posts/01-whole-body/alt.txt
2026-08-05,19:30,Europe/Sofia,Hyperreal Fact,Кървящите венци и общото здраве,Instagram | Facebook,Запази за справка,posts/02-bleeding-gums,posts/02-bleeding-gums/caption.txt,posts/02-bleeding-gums/alt.txt
2026-08-06,19:30,Europe/Sofia,Carousel,Венците и бременността,Instagram | Facebook,Сподели с бъдеща майка,posts/03-pregnancy-gums,posts/03-pregnancy-gums/caption.txt,posts/03-pregnancy-gums/alt.txt
2026-08-07,19:30,Europe/Sofia,Carousel,Диабет и венци: двупосочна връзка,Instagram | Facebook,Запази за следващия преглед,posts/04-diabetes-gums,posts/04-diabetes-gums/caption.txt,posts/04-diabetes-gums/alt.txt
2026-08-08,19:30,Europe/Sofia,Hyperreal Fact,Устата и сърцето: каква е връзката?,Instagram | Facebook,Запази и сподели внимателно,posts/05-gums-heart,posts/05-gums-heart/caption.txt,posts/05-gums-heart/alt.txt
2026-08-09,19:30,Europe/Sofia,Hyperreal Fact,Лошият дъх понякога е сигнал,Instagram | Facebook,Сподели без неудобство,posts/06-bad-breath,posts/06-bad-breath/caption.txt,posts/06-bad-breath/alt.txt
2026-08-10,19:30,Europe/Sofia,Hyperreal Fact,Сухота в устата и лекарства,Instagram | Facebook,Запази и попитай професионалист,posts/07-dry-mouth-medicines,posts/07-dry-mouth-medicines/caption.txt,posts/07-dry-mouth-medicines/alt.txt
2026-08-11,19:30,Europe/Sofia,Reel,"Скърцане със зъби, стрес и главоболие",Instagram Reels | Facebook Reels | TikTok | YouTube Shorts,"Запази, ако се будиш със стегната челюст",posts/08-bruxism-stress-headache,posts/08-bruxism-stress-headache/caption.txt,posts/08-bruxism-stress-headache/alt.txt
2026-08-12,19:30,Europe/Sofia,Hyperreal Fact,Рефлукс и износване на емайла,Instagram | Facebook,Сподели с човек с рефлукс,posts/09-reflux-enamel,posts/09-reflux-enamel/caption.txt,posts/09-reflux-enamel/alt.txt
2026-08-13,19:30,Europe/Sofia,Carousel,Кога проблем в устата не е само „зъбен проблем“,Instagram | Facebook,"Запази: промяната е сигнал, не диагноза",posts/10-oral-signals-systemic,posts/10-oral-signals-systemic/caption.txt,posts/10-oral-signals-systemic/alt.txt
